"Carimbo de data/hora","Idade","Familiaridade com robótica  ","Qual mapa você acredita que o robô está?  ","Qual o seu nível de confiança na resposta anterior?  ","Quão difícil foi entender a informação apresentada?  ","A informação apresentada ajudou na sua decisão?  ","O quanto de esforço mental foi necessário para tomar a decisão?","O que mais influenciou sua decisão?  ","Qual mapa você acredita que o robô está?  ","Qual o seu nível de confiança na resposta anterior?  ","Quão difícil foi entender a informação apresentada?  ","A informação apresentada ajudou na sua decisão?  ","O quanto de esforço mental foi necessário para tomar a decisão?","O que mais influenciou sua decisão?  ","Qual mapa você acredita que o robô está?  ","Qual o seu nível de confiança na resposta anterior?  ","Quão difícil foi entender a informação apresentada?  ","A informação apresentada ajudou na sua decisão?  ","O quanto de esforço mental foi necessário para tomar a decisão?","O que mais influenciou sua decisão?  ","Qual mapa você acredita que o robô está?  ","Qual o seu nível de confiança na resposta anterior?  ","Quão difícil foi entender a informação apresentada?  ","A informação apresentada ajudou na sua decisão?  ","O quanto de esforço mental foi necessário para tomar a decisão?","O que mais influenciou sua decisão?  ","Qual mapa você acredita que o robô está?  ","Qual o seu nível de confiança na resposta anterior?  ","Quão difícil foi entender a informação apresentada?  ","A informação apresentada ajudou na sua decisão?  ","O quanto de esforço mental foi necessário para tomar a decisão?","O que mais influenciou sua decisão?  "
"2026/05/05 9:10:19 PM GMT-3","22","Nenhuma","Mapa A","3","1","4","1","Com o mapa B sendo impossível, a decisão era igualmente provável entre A e C. Fui com o mais simples.","Mapa B","3","1","4","1","Com o mapa A sendo impossível, a decisão era igualmente provável entre B e C. Fui com o mais simples.","Mapa A","3","1","4","1","Com o mapa B sendo impossível, a decisão era igualmente provável entre A e C. Fui com o mais simples.","Mapa C","5","1","5","1","As duas ""saídas"" que apenas o mapa C possui.","Mapa B","3","1","4","1","Com o mapa A sendo impossível, a decisão era igualmente provável entre B e C. Fui com o mais simples."
"2026/05/06 9:33:17 AM GMT-3","27","Básica","Mapa A","4","3","3","3","","Mapa B","3","3","3","3","","Mapa A","3","3","3","3","","Mapa C","3","4","2","3","","Mapa B","3","3","3","3",""
"2026/05/06 2:36:43 PM GMT-3","21 ","Nenhuma","Mapa A","1","4","3","4","Chat gpt, interpretação e chute ","Mapa C","1","3","3","3","Internet ","Mapa A","2","4","3","3","Internet","Mapa C","4","3","3","2","Ana Gabrielli ","Mapa B","2","3","3","3","Ana Gabrielli
"
"2026/05/07 9:24:09 AM GMT-3","","Básica","Mapa A","3","4","3","3","Visão física do espelho","Mapa C","3","3","4","3","","Mapa A","5","2","4","3","","Mapa C","4","3","3","3","","Mapa B","3","3","3","3",""
"2026/05/07 9:59:38 AM GMT-3","33","Nenhuma","Mapa B","1","4","1","3","","Mapa B","2","2","2","3","","Mapa A","3","2","2","3","","Mapa C","2","2","2","2","","Mapa B","2","2","2","2",""
"2026/05/07 10:16:55 AM GMT-3","33","Básica","Mapa A","2","4","2","4","O % de hipótese do mapa","Mapa C","1","4","1","4","Hipotese de mapa","Mapa A","1","4","1","4","Hipotese de mapa","Mapa C","4","3","2","4","Hipótese de mapa","Mapa B","3","3","2","3","% de hipótese"
"2026/05/07 10:42:21 AM GMT-3","49","Básica","Mapa A","3","2","5","2","","Mapa C","3","2","5","2","","Mapa A","3","2","5","2","","Mapa C","3","2","5","2","","Mapa B","3","2","5","2",""
"2026/05/08 9:22:09 AM GMT-3","32","Nenhuma","Mapa A","1","5","3","3","O formato da imagem ","Mapa B","1","5","3","3","O formato da imagem ","Mapa C","1","5","3","3","O formato da imagem ","Mapa C","3","5","3","3","O formato da imagem ","Mapa B","2","5","3","3","O formato da imagem "
"2026/05/12 12:44:49 AM GMT-3","24","Avançada","Mapa A","5","2","5","1","porcentagem ","Mapa C","5","1","5","1","porcentagem","Mapa A","5","1","5","1","porcentagem ","Mapa C","5","1","5","1","porcentagem ","Mapa B","5","1","5","1","porcentagem "
"2026/05/13 9:36:50 AM GMT-3","27","Básica","Mapa A","3","4","5","3","O mapa A indica 65% de possibilidade","Mapa C","5","3","4","3","O mapa C é o único que segue reto e tem um curva para a direita.","Mapa A","5","3","5","4","Se não fosse pela chance de 85% eu ficaria entre o mapa A e C pois os dois tem uma curva de 90 graus.","Mapa C","5","3","5","3","O mapa mostra uma curva de 90 graus e uma saida na lateral ","Mapa B","4","3","5","3","A porcentagem me ajudou a ter certeza da resposta. "
"2026/05/15 4:55:57 PM GMT-3","42","Avançada","Mapa A","4","2","3","3","A leitura do sensor, porém acredito que exista também a possibilidade de ser o Mapa C.","Mapa C","5","1","5","2","","Mapa A","4","3","3","3","","Mapa C","5","3","4","2","","Mapa B","3","2","3","2",""
