"Carimbo de data/hora","Idade","Familiaridade com robótica  ","Qual mapa você acredita que o robô está?  ","Qual o seu nível de confiança na resposta anterior?  ","Quão difícil foi entender a informação apresentada?  ","A informação apresentada ajudou na sua decisão?  ","O quanto de esforço mental foi necessário para tomar a decisão?","O que mais influenciou sua decisão?  ","Qual mapa você acredita que o robô está?  ","Qual o seu nível de confiança na resposta anterior?  ","Quão difícil foi entender a informação apresentada?  ","A informação apresentada ajudou na sua decisão?  ","O quanto de esforço mental foi necessário para tomar a decisão?","O que mais influenciou sua decisão?  ","Qual mapa você acredita que o robô está?  ","Qual o seu nível de confiança na resposta anterior?  ","Quão difícil foi entender a informação apresentada?  ","A informação apresentada ajudou na sua decisão?  ","O quanto de esforço mental foi necessário para tomar a decisão?","O que mais influenciou sua decisão?  ","Qual mapa você acredita que o robô está?  ","Qual o seu nível de confiança na resposta anterior?  ","Quão difícil foi entender a informação apresentada?  ","A informação apresentada ajudou na sua decisão?  ","O quanto de esforço mental foi necessário para tomar a decisão?","O que mais influenciou sua decisão?  ","Qual mapa você acredita que o robô está?  ","Qual o seu nível de confiança na resposta anterior?  ","Quão difícil foi entender a informação apresentada?  ","A informação apresentada ajudou na sua decisão?  ","O quanto de esforço mental foi necessário para tomar a decisão?","O que mais influenciou sua decisão?  "
"2026/05/04 6:56:42 PM GMT-3","23","Avançada","Mapa A","5","2","5","3","O texto descritivo","Mapa A","5","1","4","1","O texto descritivo","Mapa B","5","1","5","1","A combinação do texto com a imagem","Mapa B","5","1","5","1","O texto","Mapa C","5","1","5","1","A combinação de imagem e texto"
"2026/05/04 7:02:47 PM GMT-3","23","Básica","Mapa A","5","1","5","4","Foi a instrução inicial ao falar que foi após uma curva à direita. E a instrução final ao falar que não possuía bifurcação, logo não teria caminhos distintos somente um para percorrer.","Mapa A","4","2","4","3","A Instrução inicial ao falar que está “se curvando à direita”. E a instrução final ao falar que não possuía bifurcação, logo não teria caminhos distintos somente um para percorrer a frente.","Mapa B","5","2","4","2","A instrução final: “uma bifurcação à frente” fez com que eu escolhesse o mapa B. Pois uma bifurcação são dois sentidos opostos que você deve escolher para percorrer.","Mapa C","5","1","5","2","A instrução “seguir em frente ou virar à direita.” Por mais que não esteja explícito que irá ter que obrigatoriamente vira à esquerda lá na frente. O robô já compreende que irá escolher  se ele irá querer seguir em frente ou virar à direita.","Mapa B","4","2","4","2","Acredito que isso seja a continuação do mapa c, pois de acordo com a instrução “após uma curva à direita, com uma bifurcação à frente.” Após ter virado à direita logo no começo do mapa c, O robô terá que escolher na bifurcação do mapa B para qual lado ele irá. E claramente isso levará para o mapa A. Consequentemente voltando para mapa c e ficando em um eterno loop sem fim. Bem backrooms eu diria. "
"2026/05/06 11:07:21 AM GMT-3","22","Básica","Mapa A","4","3","4","3","acho que o fato de não ter uma bifurcação no mapa A","Mapa A","4","4","5","2","a ausência de bifurcação","Mapa B","5","1","4","1","a presença de uma bifurcação","Mapa C","4","1","5","1","o fato de poder seguir em frente ou virar à direita","Mapa C","5","1","4","1","o fato de ter feito uma curva à direita e ainda ter uma bifurcação"
"2026/05/07 8:45:39 AM GMT-3","64","Nenhuma","Mapa A","3","3","3","3","não influenciou","Mapa A","3","3","3","3","não influenciou","Mapa B","3","3","3","3","nada","Mapa B","5","1","5","1","nada","Mapa C","5","1","5","1","nada"
"2026/05/07 9:04:17 AM GMT-3","79 ","Nenhuma","Mapa A","4","4","4","4","Entendi que a curva A é a direita e não há bifurcação. ","Mapa A","4","4","4","4","Entendi que acurva A é a direita e sem bifurcação ","Mapa A","4","4","4","4","O modo como entendi ","Mapa B","4","4","4","4","Entendi que a curva B corresponde a definição dada ","Mapa C","4","4","4","4","O modo que entendi com a bifurcação na C "
"2026/05/07 9:25:50 AM GMT-3","66","Nenhuma","Mapa A","4","2","1","1","A pergunta é o gráfico ","Mapa A","4","2","2","1","Pergunta e gráfico ","Mapa B","4","1","4","2","Pergunta e gráfico ","Mapa C","4","1","2","1","Pergunta e gráfico ","Mapa C","3","3","2","3","Pergunta e gráfico "
"2026/05/07 2:04:18 PM GMT-3","23","Avançada","Mapa A","5","4","5","5","A parte de não ter bifurcações","Mapa A","5","4","5","4","A frase indicando que não tem bifurcações
","Mapa B","4","5","5","5","Não é especificado o que pode ser a bifurcação, se ele só está vendo a primeira ou se so tem uma, então escolhi o que só tem uma
","Mapa B","3","4","5","4","O fato de não ter uma terceira opção que seja virar a esquerda, e o último mapa tem como virar direita, seguir e virar esquerda, e no primeiro mapa só tem 1 opção","Mapa C","5","3","5","3","So no mapa 3 tem como virar a direita a partir de uma posição e ainda ter uma bifurcação"
"2026/05/08 11:55:35 AM GMT-3","35","Avançada","Mapa B","3","4","2","4","as linhas pontilhadas","Mapa C","2","4","2","4","","Mapa B","4","1","5","1","O formato das curvas","Mapa C","4","2","4","2","O formato das curvas","Mapa C","2","2","1","3",""
"2026/05/08 7:00:31 PM GMT-3","43","Nenhuma","Mapa C","5","1","1","2","A disposição do mapa","Mapa C","5","1","1","1","Disposição do mapa","Mapa B","5","1","1","1","Disposição do mapa","Mapa C","4","1","1","1","","Mapa C","5","1","1","1",""
"2026/05/12 7:13:51 PM GMT-3","22","Básica","Mapa B","3","4","3","4","","Mapa A","5","2","4","2","","Mapa B","3","4","4","4","","Mapa B","2","4","4","4","","Mapa C","1","5","2","5",""
