"Carimbo de data/hora","Idade","Familiaridade com robótica  ","Qual mapa você acredita que o robô está?  ","Qual o seu nível de confiança na resposta anterior?  ","Quão difícil foi entender a informação apresentada?  ","A informação apresentada ajudou na sua decisão?  ","O quanto de esforço mental foi necessário para tomar a decisão?","O que mais influenciou sua decisão?  ","Qual mapa você acredita que o robô está?  ","Qual o seu nível de confiança na resposta anterior?  ","Quão difícil foi entender a informação apresentada?  ","A informação apresentada ajudou na sua decisão?  ","O quanto de esforço mental foi necessário para tomar a decisão?","O que mais influenciou sua decisão?  ","Qual mapa você acredita que o robô está?  ","Qual o seu nível de confiança na resposta anterior?  ","Quão difícil foi entender a informação apresentada?  ","A informação apresentada ajudou na sua decisão?  ","O quanto de esforço mental foi necessário para tomar a decisão?","O que mais influenciou sua decisão?  ","Qual mapa você acredita que o robô está?  ","Qual o seu nível de confiança na resposta anterior?  ","Quão difícil foi entender a informação apresentada?  ","A informação apresentada ajudou na sua decisão?  ","O quanto de esforço mental foi necessário para tomar a decisão?","O que mais influenciou sua decisão?  ","Qual mapa você acredita que o robô está?  ","Qual o seu nível de confiança na resposta anterior?  ","Quão difícil foi entender a informação apresentada?  ","A informação apresentada ajudou na sua decisão?  ","O quanto de esforço mental foi necessário para tomar a decisão?","O que mais influenciou sua decisão?  "
"2026/05/04 11:23:47 PM GMT-3","23","Avançada","Mapa C","5","1","5","1","","Mapa B","5","1","5","1","","Mapa A","3","1","3","1","","Mapa B","3","1","3","1","","Mapa A","1","1","1","1",""
"2026/05/05 10:57:53 PM GMT-3","","Básica","Mapa C","5","1","5","1","","Mapa B","5","1","5","1","","Mapa B","5","1","5","1","","Mapa A","2","3","2","3","","Mapa A","5","3","3","3",""
"2026/05/06 12:04:09 PM GMT-3","24 anos ","Nenhuma","Mapa C","2","4","4","5","","Mapa B","1","4","3","5","","Mapa C","2","3","4","5","","Mapa C","2","3","4","5","","Mapa B","2","3","4","5",""
"2026/05/06 5:23:36 PM GMT-3","24","Nenhuma","Mapa C","1","2","4","3","a imagem ","Mapa B","2","3","4","2","","Mapa A","5","2","5","3","","Mapa B","5","1","2","1","","Mapa A","1","2","2","3",""
"2026/05/07 9:48:15 AM GMT-3","62 anos","Nenhuma","Mapa C","3","4","4","5","lógica","Mapa B","4","3","4","4","","Mapa A","3","3","4","3","","Mapa B","4","4","4","3","","Mapa A","3","3","3","4",""
"2026/05/07 1:33:26 PM GMT-3","54","Básica","Mapa C","5","4","3","4","","Mapa B","4","4","4","4","","Mapa A","5","1","5","2","","Mapa C","1","5","1","5","","Mapa A","4","3","4","3",""
"2026/05/07 9:22:58 PM GMT-3","26","Básica","Mapa C","5","1","5","2","Informação dada","Mapa B","4","1","4","2","Informação ","Mapa A","5","1","4","1","Simplicidade da informação, visto que outros também possuem curvas a direita","Mapa B","4","2","3","2","Informação ","Mapa A","5","1","5","2","Informação dada"
"2026/05/07 10:48:24 PM GMT-3","44","Avançada","Mapa B","5","2","5","1","Bifurcação ","Mapa B","5","1","5","1","Ir reto ou virar a direita","Mapa A","5","1","5","1","Virar a direita","Mapa C","3","2","3","1","B e C podem ser as possibilidades","Mapa C","5","1","5","1","Curva a direita e sem bifurcação "
"2026/05/08 7:03:55 PM GMT-3","41","Nenhuma","Mapa C","5","1","5","2","Entender a função dos pontilhados","Mapa C","5","1","5","1","Frase clara","Mapa C","2","4","2","4","Achei a frase ambígua, o que atrapalhou minha decisão","Mapa C","5","5","5","1","A informação de que há uma bifurcação","Mapa C","3","3","3","3","O comando informado pode ser entendido em mais de um cenário"
"2026/05/14 7:04:59 AM GMT-3","22","Nenhuma","Mapa C","3","4","4","4","","Mapa B","4","2","4","2","","Mapa A","2","4","3","4","","Mapa C","1","5","2","4","","Mapa A","3","3","3","3",""
